"","CaseSequence","YYYY-MMM","KWH"
"1",733,"1998-Jan",6862583
"2",734,"1998-Feb",5838198
"3",735,"1998-Mar",5420658
"4",736,"1998-Apr",5010364
"5",737,"1998-May",4665377
"6",738,"1998-Jun",6467147
"7",739,"1998-Jul",8914755
"8",740,"1998-Aug",8607428
"9",741,"1998-Sep",6989888
"10",742,"1998-Oct",6345620
"11",743,"1998-Nov",4640410
"12",744,"1998-Dec",4693479
"13",745,"1999-Jan",7183759
"14",746,"1999-Feb",5759262
"15",747,"1999-Mar",4847656
"16",748,"1999-Apr",5306592
"17",749,"1999-May",4426794
"18",750,"1999-Jun",5500901
"19",751,"1999-Jul",7444416
"20",752,"1999-Aug",7564391
"21",753,"1999-Sep",7899368
"22",754,"1999-Oct",5358314
"23",755,"1999-Nov",4436269
"24",756,"1999-Dec",4419229
"25",757,"2000-Jan",7068296
"26",758,"2000-Feb",5876083
"27",759,"2000-Mar",4807961
"28",760,"2000-Apr",4873080
"29",761,"2000-May",5050891
"30",762,"2000-Jun",7092865
"31",763,"2000-Jul",6862662
"32",764,"2000-Aug",7517830
"33",765,"2000-Sep",8912169
"34",766,"2000-Oct",5844352
"35",767,"2000-Nov",5041769
"36",768,"2000-Dec",6220334
"37",769,"2001-Jan",7538529
"38",770,"2001-Feb",6602448
"39",771,"2001-Mar",5779180
"40",772,"2001-Apr",4835210
"41",773,"2001-May",4787904
"42",774,"2001-Jun",6283324
"43",775,"2001-Jul",7855129
"44",776,"2001-Aug",8450717
"45",777,"2001-Sep",7112069
"46",778,"2001-Oct",5242535
"47",779,"2001-Nov",4461979
"48",780,"2001-Dec",5240995
"49",781,"2002-Jan",7099063
"50",782,"2002-Feb",6413429
"51",783,"2002-Mar",5839514
"52",784,"2002-Apr",5371604
"53",785,"2002-May",5439166
"54",786,"2002-Jun",5850383
"55",787,"2002-Jul",7039702
"56",788,"2002-Aug",8058748
"57",789,"2002-Sep",8245227
"58",790,"2002-Oct",5865014
"59",791,"2002-Nov",4908979
"60",792,"2002-Dec",5779958
"61",793,"2003-Jan",7256079
"62",794,"2003-Feb",6190517
"63",795,"2003-Mar",6120626
"64",796,"2003-Apr",4885643
"65",797,"2003-May",5296096
"66",798,"2003-Jun",6051571
"67",799,"2003-Jul",6900676
"68",800,"2003-Aug",8476499
"69",801,"2003-Sep",7791791
"70",802,"2003-Oct",5344613
"71",803,"2003-Nov",4913707
"72",804,"2003-Dec",5756193
"73",805,"2004-Jan",7584596
"74",806,"2004-Feb",6560742
"75",807,"2004-Mar",6526586
"76",808,"2004-Apr",4831688
"77",809,"2004-May",4878262
"78",810,"2004-Jun",6421614
"79",811,"2004-Jul",7307931
"80",812,"2004-Aug",7309774
"81",813,"2004-Sep",6690366
"82",814,"2004-Oct",5444948
"83",815,"2004-Nov",4824940
"84",816,"2004-Dec",5791208
"85",817,"2005-Jan",8225477
"86",818,"2005-Feb",6564338
"87",819,"2005-Mar",5581725
"88",820,"2005-Apr",5563071
"89",821,"2005-May",4453983
"90",822,"2005-Jun",5900212
"91",823,"2005-Jul",8337998
"92",824,"2005-Aug",7786659
"93",825,"2005-Sep",7057213
"94",826,"2005-Oct",6694523
"95",827,"2005-Nov",4313019
"96",828,"2005-Dec",6181548
"97",829,"2006-Jan",7793358
"98",830,"2006-Feb",5914945
"99",831,"2006-Mar",5819734
"100",832,"2006-Apr",5255988
"101",833,"2006-May",4740588
"102",834,"2006-Jun",7052275
"103",835,"2006-Jul",7945564
"104",836,"2006-Aug",8241110
"105",837,"2006-Sep",7296355
"106",838,"2006-Oct",5104799
"107",839,"2006-Nov",4458429
"108",840,"2006-Dec",6226214
"109",841,"2007-Jan",8031295
"110",842,"2007-Feb",7928337
"111",843,"2007-Mar",6443170
"112",844,"2007-Apr",4841979
"113",845,"2007-May",4862847
"114",846,"2007-Jun",5022647
"115",847,"2007-Jul",6426220
"116",848,"2007-Aug",7447146
"117",849,"2007-Sep",7666970
"118",850,"2007-Oct",5785964
"119",851,"2007-Nov",4907057
"120",852,"2007-Dec",6047292
"121",853,"2008-Jan",7964293
"122",854,"2008-Feb",7597060
"123",855,"2008-Mar",6085644
"124",856,"2008-Apr",5352359
"125",857,"2008-May",4608528
"126",858,"2008-Jun",6548439
"127",859,"2008-Jul",7643987
"128",860,"2008-Aug",8037137
"129",861,"2008-Sep",NA
"130",862,"2008-Oct",5101803
"131",863,"2008-Nov",4555602
"132",864,"2008-Dec",6442746
"133",865,"2009-Jan",8072330
"134",866,"2009-Feb",6976800
"135",867,"2009-Mar",5691452
"136",868,"2009-Apr",5531616
"137",869,"2009-May",5264439
"138",870,"2009-Jun",5804433
"139",871,"2009-Jul",7713260
"140",872,"2009-Aug",8350517
"141",873,"2009-Sep",7583146
"142",874,"2009-Oct",5566075
"143",875,"2009-Nov",5339890
"144",876,"2009-Dec",7089880
"145",877,"2010-Jan",9397357
"146",878,"2010-Feb",8390677
"147",879,"2010-Mar",7347915
"148",880,"2010-Apr",5776131
"149",881,"2010-May",4919289
"150",882,"2010-Jun",6696292
"151",883,"2010-Jul",770523
"152",884,"2010-Aug",7922701
"153",885,"2010-Sep",7819472
"154",886,"2010-Oct",5875917
"155",887,"2010-Nov",4800733
"156",888,"2010-Dec",6152583
"157",889,"2011-Jan",8394747
"158",890,"2011-Feb",8898062
"159",891,"2011-Mar",6356903
"160",892,"2011-Apr",5685227
"161",893,"2011-May",5506308
"162",894,"2011-Jun",8037779
"163",895,"2011-Jul",10093343
"164",896,"2011-Aug",10308076
"165",897,"2011-Sep",8943599
"166",898,"2011-Oct",5603920
"167",899,"2011-Nov",6154138
"168",900,"2011-Dec",8273142
"169",901,"2012-Jan",8991267
"170",902,"2012-Feb",7952204
"171",903,"2012-Mar",6356961
"172",904,"2012-Apr",5569828
"173",905,"2012-May",5783598
"174",906,"2012-Jun",7926956
"175",907,"2012-Jul",8886851
"176",908,"2012-Aug",9612423
"177",909,"2012-Sep",7559148
"178",910,"2012-Oct",5576852
"179",911,"2012-Nov",5731899
"180",912,"2012-Dec",6609694
"181",913,"2013-Jan",10655730
"182",914,"2013-Feb",7681798
"183",915,"2013-Mar",6517514
"184",916,"2013-Apr",6105359
"185",917,"2013-May",5940475
"186",918,"2013-Jun",7920627
"187",919,"2013-Jul",8415321
"188",920,"2013-Aug",9080226
"189",921,"2013-Sep",7968220
"190",922,"2013-Oct",5759367
"191",923,"2013-Nov",5769083
"192",924,"2013-Dec",9606304
